mcc,edited_description,combined_description,usda_description,irs_description,irs_reportable
0742,Veterinary Services,Veterinary Services,Veterinary Services,Veterinary Services,Yes
0763,Agricultural Co-operatives,Agricultural Co-operatives,Agricultural Co-operatives,Agricultural Cooperative,Yes
0780,"Horticultural Services, Landscaping Services","Horticultural Services, Landscaping Services",Horticultural Services,Landscaping Services,Yes
1520,General Contractors-Residential and Commercial,General Contractors-Residential and Commercial,General Contractors-Residential and Commercial,General Contractors,Yes
1711,"Air Conditioning Contractors – Sales and Installation, Heating Contractors – Sales, Service, Installation","Air Conditioning Contractors – Sales and Installation, Heating Contractors – Sales, Service, Installation",Air Conditioning Contractors – Sales and Installation,"Heating, Plumbing, A/C",Yes
1731,Electrical Contractors,Electrical Contractors,Electrical Contractors,Electrical Contractors,Yes
1740,"Insulation – Contractors, Masonry, Stonework Contractors, Plastering Contractors, Stonework and Masonry Contractors, Tile Settings Contractors","Insulation – Contractors, Masonry, Stonework Contractors, Plastering Contractors, Stonework and Masonry Contractors, Tile Settings Contractors",Insulation – Contractors,"Masonry, Stonework, and Plaster",Yes
1750,Carpentry Contractors,Carpentry Contractors,Carpentry Contractors,Carpentry Contractors,Yes
1761,"Roofing – Contractors, Sheet Metal Work – Contractors, Siding – Contractors","Roofing – Contractors, Sheet Metal Work – Contractors, Siding – Contractors",Roofing - Contractors,"Roofing/Siding, Sheet Metal",Yes
1771,Contractors – Concrete Work,Contractors – Concrete Work,Contractors – Concrete Work,Concrete Work Contractors,Yes
1799,"Contractors – Special Trade, Not Elsewhere Classified","Contractors – Special Trade, Not Elsewhere Classified","Contractors – Special Trade, Not Elsewhere Classified",Special Trade Contractors,Yes
2741,Miscellaneous Publishing and Printing,Miscellaneous Publishing and Printing,Miscellaneous Publishing and Printing,Miscellaneous Publishing and Printing,Yes
2791,"Typesetting, Plate Making, & Related Services","Typesetting, Plate Making, & Related Services","Typesetting, Plate Making, & Related Services","Typesetting, Plate Making, and Related Services",Yes
2842,"Specialty Cleaning, Polishing, and Sanitation Preparations","Specialty Cleaning, Polishing, and Sanitation Preparations","Specialty Cleaning, Polishing, and Sanitation Preparations",Specialty Cleaning,Yes
3000,UNITED AIRLINES,UNITED AIRLINES,UNITED AIRLINES,Airlines,Yes
3001,AMERICAN AIRLINES,AMERICAN AIRLINES,AMERICAN AIRLINES,Airlines,Yes
3002,PAN AMERICAN,PAN AMERICAN,PAN AMERICAN,Airlines,Yes
3003,Airlines,Airlines,,Airlines,Yes
3004,TRANS WORLD AIRLINES,TRANS WORLD AIRLINES,TRANS WORLD AIRLINES,Airlines,Yes
3005,BRITISH AIRWAYS,BRITISH AIRWAYS,BRITISH AIRWAYS,Airlines,Yes
3006,JAPAN AIRLINES,JAPAN AIRLINES,JAPAN AIRLINES,Airlines,Yes
3007,AIR FRANCE,AIR FRANCE,AIR FRANCE,Airlines,Yes
3008,LUFTHANSA,LUFTHANSA,LUFTHANSA,Airlines,Yes
3009,AIR CANADA,AIR CANADA,AIR CANADA,Airlines,Yes
3010,KLM (ROYAL DUTCH AIRLINES),KLM (ROYAL DUTCH AIRLINES),KLM (ROYAL DUTCH AIRLINES),Airlines,Yes
3011,AEORFLOT,AEORFLOT,AEORFLOT,Airlines,Yes
